pdf_page,display_page,text_lines,n_words,text_extent_pct,density_pct,n_tables_on_page,n_table_rows_est,n_figures_on_page,top_text_line,status
49,xlvii,88,678,94,23,0,0,0,pageno: xlvii of 1907,ok
50,xlviii,82,600,94,24,0,0,0,pageno: xlviii of 1907,ok
51,xlix,83,657,94,23,0,0,0,pageno: xlix of 1907,ok
52,l,87,692,94,23,0,0,0,pageno: l of 1907,ok
53,li,88,639,94,24,0,0,0,pageno: li of 1907,ok
54,lii,88,786,94,22,0,0,0,pageno: lii of 1907,ok
55,liii,88,795,94,21,0,0,0,pageno: liii of 1907,ok
56,liv,89,644,94,24,0,0,0,pageno: liv of 1907,ok
57,lv,89,767,94,22,0,0,0,pageno: lv of 1907,ok
58,lvi,88,555,94,26,0,0,0,pageno: lvi of 1907,ok
59,lvii,88,786,94,22,0,0,0,pageno: lvii of 1907,ok
60,lviii,88,899,94,20,0,0,0,pageno: lviii of 1907,ok
61,lix,85,840,96,19,0,0,0,pageno: lix of 1907,ok
62,lx,13,114,12,3,0,0,0,pageno: lx of 1907,sparse
63,lxi,128,1023,87,32,0,0,0,pageno: lxi of 1907,ok
64,lxii,160,1325,94,40,0,0,0,pageno: lxii of 1907,ok
65,lxiii,157,1208,95,41,0,0,0,pageno: lxiii of 1907,ok
66,lxiv,154,1209,96,42,0,0,0,pageno: lxiv of 1907,ok
67,lxv,67,151,92,16,0,0,0,pageno: lxv of 1907,ok
68,lxvi,38,80,47,9,0,0,0,pageno: lxvi of 1907,ok
69,lxvii,20,104,38,8,0,0,0,pageno: lxvii of 1907,ok
70,lxviii,54,216,70,19,0,0,0,pageno: lxviii of 1907,ok
71,lxix,47,130,40,12,0,0,0,pageno: lxix of 1907,ok
72,lxx,3,24,13,2,0,0,0,pageno: lxx of 1907,almost_empty
73,lxxi,64,217,94,16,0,0,0,pageno: lxxi of 1907,ok
74,lxxii,46,245,83,23,0,0,0,pageno: lxxii of 1907,ok
75,,0,0,0,0,0,0,0,(empty),empty
76,,2,3,8,2,0,0,0,Chapter 1,almost_empty
77,3,28,195,79,18,1,0,0,Introduction,ok
78,4,74,298,87,22,0,0,0,Chapter 1 — GGU DBA Examiner Compliance,ok
79,5,44,122,60,12,1,0,0,The table below presents the chapter 1 Roadmap: Sections and Purpose.,ok
80,6,34,210,89,19,1,0,0,Chapter 1.,ok
81,7,14,152,63,16,0,0,0,Doctoral Research Framing Summary,ok
82,8,3,32,8,3,0,0,0,"Table 1.4 states the DBA framing for the dissertation — independent variable, me",almost_empty
83,9,52,308,93,30,1,0,0,DBA Research Framing.,ok
84,10,38,262,85,27,0,0,0,H5,ok
85,11,32,169,55,15,0,0,1,H5: Trust mediates Explainability → Adoption,ok
86,12,24,271,94,28,0,0,0,Why ASD-EEG Screening as the Empirical Domain,ok
87,13,17,184,73,19,0,0,0,6. High ethical sensitivity + paediatric context. Paediatric conceptual AI gover,ok
88,14,48,270,94,26,1,0,0,Table 1.5. RGAIG Maturity Framework — six levels of Responsible AI governance,ok
89,15,43,282,96,25,0,0,1,Chapter Overview. This chapter establishes the dissertation’s foundation: ASDfoc,ok
90,16,51,212,83,21,1,0,0,are introduced here and detailed in Chapter 3: Pipeline 1 (secondary data: EEG/i,ok
91,17,27,284,93,36,0,0,0,Chapter Objective,ok
92,18,3,21,9,2,0,0,0,Definition of Key Terms,almost_empty
93,19,47,270,94,31,1,0,0,Table 1.7. Definition of Key Terms. Operational definitions are provided here to,ok
94,20,18,183,67,22,0,0,0,Delimitations,ok
95,21,14,145,53,18,0,0,0,Ethical Considerations,ok
96,22,21,271,89,34,0,0,0,Scope and Boundaries of the Study,ok
97,23,24,292,96,34,0,0,0,• A human-centered study that places the caregiver–clinician dyad at the centre ,ok
98,24,47,245,80,25,1,0,0,conceptual rather than clinical-deployment-oriented; the validation strategy ref,ok
99,25,48,190,85,19,1,0,0,Table 1.9. Research Object and Scope — NOT IN SCOPE. Each row names a,ok
100,26,71,213,69,18,1,0,0,Table 1.10. Research Task Map. Tracks the major dissertation tasks with status,ok
101,27,24,291,94,33,0,0,0,Ethical Positioning of the Framework,ok
102,28,14,152,56,20,0,0,0,"and the framework’s fairness monitoring includes age, gender, and ethnicity subg",ok
103,29,19,242,79,32,0,0,0,Context of Contributing Organizations,ok
104,30,19,194,64,24,0,0,0,Organisation of the Thesis,ok
105,31,86,250,96,25,1,0,0,Cross-chapter,ok
106,32,43,171,54,19,0,0,1,most dissertations stop at validation; this work continues into runtime constitu,ok
107,33,12,195,61,26,0,0,0,Why Governance Matters More Than Accuracy,ok
108,34,23,265,93,32,0,0,0,Background of the Study,ok
109,35,15,71,43,8,0,0,1,Global Prevalence (Millions),figure_heavy
110,36,47,223,86,23,1,0,0,Research Motivation,ok
111,37,33,212,83,23,1,0,0,Significance of the Study,ok
112,38,8,72,30,9,0,0,0,Research Positioning,ok
113,39,56,257,92,27,2,0,0,Table 1.14 research positioning: mapping named problems to rgaig.,ok
114,40,20,279,93,35,0,0,0,"Positioning argument. The contribution is not that biomedical AI, explainable AI",ok
115,41,25,165,67,18,1,0,0,SMART Research Aim,ok
116,42,40,311,93,34,1,0,0,Problem Statement,ok
117,43,35,237,91,29,2,0,0,P3,ok
118,44,14,168,57,20,0,0,0,Why Solving This Problem Is Critical,ok
119,45,18,171,77,24,0,0,0,Key Challenges,ok
120,46,11,125,43,16,0,0,0,Why the Researcher Chose This Problem,ok
121,47,15,152,60,20,0,0,0,The Unsolved Problem,ok
122,48,15,158,60,18,0,0,0,Advantages for Clinicians and Patients,ok
123,49,13,125,44,15,0,0,0,Data Sources Overview,ok
124,50,35,172,72,19,1,0,0,Stakeholder Framing,ok
125,51,57,191,83,20,1,0,0,AS.,ok
126,52,47,110,67,10,0,0,1,Fragmented ASD,ok
127,53,10,98,37,12,0,0,0,Research Gap,ok
128,54,51,221,93,27,1,0,0,Unified Framework vs.Domain.,ok
129,55,13,68,55,12,0,0,1,"Problem-to-solution funnel: how healthcare,.",figure_heavy
130,56,35,183,67,19,1,0,0,Quantitative Evidence for.,ok
131,57,34,88,65,15,0,0,1,Governance-Embedded,ok
132,58,62,190,61,15,1,0,1,Current State,ok
133,59,33,221,92,25,1,0,0,B2B Sub.,ok
134,60,39,285,96,30,1,0,0,B2C Sub.,ok
135,61,2,15,5,2,0,0,0,"sults, hospitals receive high-risk escalations, and provider organisations maint",almost_empty
136,62,102,229,91,24,1,0,0,Table 1.23 maps problem and Design Mapping: B2B and B2C Problem Decomposition.,ok
137,63,51,114,40,12,0,0,0,Behaviour,ok
138,64,54,222,92,26,1,0,0,Problem Structure,ok
139,65,60,240,96,26,1,0,0,Table 1.25 distils the single most critical insight from each layer.,ok
140,66,7,77,22,8,0,0,0,B2B Analysis: Hospital-Based Patient Assessment,sparse
141,67,35,297,91,34,1,0,0,Table 1.26. AS-IS Patient Assessment in Hospital Settings (B2B Context). Decisio,ok
142,68,35,155,62,17,0,0,1,B2B Patient Assessment Workflow,ok
143,69,35,143,70,16,0,0,1,Capture,ok
144,70,66,210,89,21,1,0,0,Table 1.27 patient onboarding time reduction: traditional vs.rgaig.,ok
145,71,31,69,13,4,0,0,1,1. Register,sparse
146,72,55,218,86,21,1,0,0,Table 1.28 presents problem Decomposition: Four Business and Four Technical Prob,ok
147,73,29,157,68,18,0,0,1,B2C Analysis: Consumer Wearable EEG Assessment,ok
148,74,29,97,70,10,0,0,1,Cross-Cutting Infrastructure,ok
149,75,2,17,9,2,0,0,0,Dual Data Approach,almost_empty
150,76,33,213,93,21,0,0,1,Figure 1.14. Dual Data Pipeline: Assessment Data vs. EEG Data. The figure,ok
151,77,37,179,96,21,0,0,1,with row-level security and AES-256 encryption at rest. Database schema specific,ok
152,78,30,183,68,20,1,0,0,"primitive at every processing stage, directly addressing gap G3 (lack of workflo",ok
153,79,25,274,95,33,0,0,0,Research Objectives,ok
154,80,36,220,85,23,2,0,0,• Directive Obj. E — Validate framework readiness using expert and stakeholder,ok
155,81,17,194,55,22,0,0,0,Objective Operationalisation (Appendix M),ok
156,82,46,280,96,26,0,0,1,Regulatory & Market Context,ok
157,83,51,242,61,18,0,0,1,measured under prospective B2C deployment. Future scope: the Canada + India futu,ok
158,84,21,282,96,36,0,0,0,Research Design — Mixed-Methods Governance Evaluation,ok
159,85,15,191,69,24,0,0,0,"evidence base supports the Management Decision Matrix (Chapter 5.1, Section 5.82",ok
160,86,7,74,31,10,0,0,0,Research Contribution Statement,ok
161,87,23,273,94,33,0,0,0,Theory Extension Declaration,ok
162,88,23,301,96,33,0,0,0,Methodology: HITL gate architecture + Delphi-style expert review + Management De,ok
163,89,44,281,97,28,2,0,0,experts perceive citation-grounded RAG explanations as more interpretable than s,ok
164,90,14,165,54,18,0,0,0,remains falsifiable—a pipeline passing only three domains would falsify H1. The ,ok
165,91,17,170,66,21,0,0,0,Research Structure (A–D Framework) (Reference: Appendix M),ok
166,92,33,239,96,28,1,0,0,Study Boundaries. Table 1.32 delineates the study boundaries with the rationale ,ok
167,93,39,218,86,24,1,0,0,Scope of the Study,ok
168,94,54,234,84,21,0,0,1,Research Design Flow,ok
169,95,3,31,8,3,0,0,0,Master Traceability Chain: Problem to Contribution. Table 1.34 provides the comp,almost_empty
170,96,84,174,91,15,1,0,0,Master Traceability Matrix.,ok
171,97,46,193,72,19,0,0,0,P4,ok
172,98,16,163,51,19,0,0,0,Research Model: Adoption-to-Governance Chain,ok
173,99,17,169,61,23,0,0,0,Theoretical Framework,ok
174,100,17,170,66,22,0,0,0,Theoretical Integration,ok
175,101,14,177,57,22,0,0,0,The conceptual model preview is retained only in prose at this stage. The full m,ok
176,102,13,145,49,17,1,0,0,Competitive Landscape,ok
177,103,9,82,28,10,0,0,0,Research Publications,sparse
178,104,30,179,72,17,1,0,0,Chapter 1 Output Card: What Goes to Chapter 2,ok
179,105,15,148,61,18,0,0,0,Supplementary Material,ok
180,106,32,164,63,17,1,0,0,"Chapter 1 Scorecard. Table 1.36 summarises what this chapter promised, what it d",ok
181,107,23,274,93,31,0,0,0,Limitations of the Study,ok
182,108,36,188,91,21,2,0,0,Executive Table: Research Problem Summary,ok
183,109,34,142,83,17,2,0,0,Executive Table: Research Objectives,ok
184,110,34,159,88,19,2,0,0,Executive Table: Contributions Summary,ok
185,111,34,175,82,20,2,0,0,Executive Table: Why DBA (Not Computer Science PhD),ok
186,112,36,154,83,19,3,0,0,Executive Table: Framework Component Positioning,ok
187,113,27,204,78,23,1,0,0,Chapter 1 DBA Template Compliance Additions,ok
188,114,40,270,87,28,1,0,0,Global Statistics — Why This Research Matters Now,ok
189,115,9,120,42,14,0,0,0,Novelty Statement,ok
190,116,31,161,65,16,1,0,0,Table 1.49. Assumptions of the study and their justification.,ok
191,117,6,77,25,11,0,0,0,Dissertation Contribution Statement,sparse
192,118,24,236,94,26,0,0,1,Chapter 1 Signature Diagrams,ok
193,119,16,73,92,10,0,0,2,Research contribution chain,figure_heavy
194,120,17,165,77,19,0,0,1,"Note. The same figure recurs as Figures 1.21, equivalent versions appear in Chap",figure_heavy
195,121,19,111,61,15,0,0,1,IN SCOPE,figure_heavy
196,,0,0,0,0,0,0,0,(empty),empty
197,,3,8,15,4,0,0,0,Appendix A,almost_empty
198,124,10,90,46,11,0,0,0,Appendix: Chapter 1 — Introduction,ok
199,125,7,73,27,7,0,0,0,Limitations of the Introductory Framing,sparse
200,126,53,166,70,17,1,0,0,Table 1.50. Limitations of the Introductory Framing. Each limitation traces to a,ok
201,127,57,219,84,20,1,0,0,Chapter 1 Objective Traceability,ok
202,128,19,232,81,21,1,0,0,Problem-to-Gap-to-Objective Chain,ok
203,129,43,266,93,30,3,0,0,Table 1.52. AS-IS Patient Assessment in Hospital Settings: full per-area breakdo,ok
204,,0,0,0,0,0,0,0,(empty),empty
205,,2,5,9,2,0,0,0,Chapter 2,almost_empty
206,132,27,193,80,17,1,0,0,Review of Literature,ok
207,133,55,274,89,21,0,0,0,Chapter 2 — GGU DBA Examiner Compliance,ok
208,134,3,21,8,2,0,0,0,trust / adoption / clinician oversight); diagnostic-efficacy and medical-device-,almost_empty
209,135,10,152,49,16,0,0,0,Chapter 2 Boundary Statement (examiner-facing). This chapter reviews literature ,ok
210,136,43,240,94,21,1,0,0,The table below presents the chapter 2 Roadmap: Sections and Purpose.,ok
211,137,13,184,58,22,0,0,0,Sequence: Ch.1 (Problem/Gap/RQ) → Ch.2 (Literature Review) → Ch.3 (Methodology),ok
212,138,33,206,62,21,0,0,1,1. Review Strategy,ok
213,139,20,268,94,32,0,0,0,Introduction,ok
214,140,23,231,86,27,1,0,0,Theme 6 — Adoption and Socio-Technical Systems. Covered in Theoretical Foundatio,ok
215,141,19,122,49,11,0,0,0,Process,ok
216,142,26,184,71,19,1,0,0,The table below presents the chapter 2 vs Appendix B: Scope Division.,ok
217,143,13,141,46,17,0,0,0,DBA and Research Significance,ok
218,144,26,255,95,31,0,0,0,Cross-Chapter Alignment (Ch. 2 Role),ok
219,145,36,159,49,11,0,0,1,Identification,ok
220,146,30,119,70,14,0,0,1,Records identified through,ok
221,147,58,279,93,31,1,0,0,PRISMA limitations. Screening was conducted by a single reviewer with a 20% dual,ok
222,148,13,151,55,19,0,0,0,Conceptual Foundations,ok
223,149,22,319,96,38,0,0,0,Theoretical Foundations,ok
224,150,25,335,92,42,0,0,0,"function of perceived risk, which is the central concern in clinical AI; (c) TAM",ok
225,151,46,272,95,26,1,0,0,Table 2.6 contradictions in existing healthcare ai literature.,ok
226,152,34,256,86,28,0,0,0,Validation,ok
227,153,57,231,96,25,1,0,0,Table 2.7 limitations of existing studies by theme.,ok
228,154,48,238,95,25,0,0,1,These nine theories serve different roles and are not equally central to the dis,ok
229,155,82,273,79,32,1,0,0,Theory-to-Construct Mapping. The following table presents the detailed analysis.,ok
230,156,20,87,65,12,0,0,1,Build & Adopt,ok
231,157,15,155,51,20,0,0,0,Evolution of AI Research Phases,ok
232,158,21,253,95,30,0,0,0,Governance as the Missing Variable in Responsible AI Adoption,ok
233,159,17,185,64,22,0,0,0,adoption literature inform the qualitative and mixed-methods strand. Detailed pi,ok
234,160,38,268,89,29,1,0,0,Synthesis: Five Clinical Conditions.,ok
235,161,4,24,12,4,0,0,0,EEG-Based Diagnostics,sparse
236,162,28,303,96,31,0,0,0,Clinical grounding. Each DSM-5 criterion maps to EEG signatures: social-emotiona,ok
237,163,12,119,41,15,0,0,0,literature for each spectral feature. Each disease exhibits a distinct oscillato,ok
238,164,49,229,95,24,1,0,0,Table 2.10. Top-Performing ASD–EEG Detection Studies (2020–2025). This table,ok
239,165,9,106,29,11,0,0,0,"• Confound (Foumani, 2025): largest study uses a foundation model pre-trained on",sparse
240,166,32,265,91,30,1,0,0,Table 2.11 presents synthesis: EEG-Based Diagnostics.,ok
241,167,1,13,5,2,0,0,0,"hierarchical validation (subject-wise 𝑘-fold, LOSO-CV, and cross-corpus evaluati",almost_empty
242,168,25,302,92,39,0,0,0,ASD-EEG Methodological Progression (2012–2025),ok
243,169,24,337,94,42,0,0,0,Deep-learning transition (2018–2023). The introduction of convolutional neural n,ok
244,170,21,324,97,42,0,0,0,long-range and increased short-range coherence. Multimodal pipelines combining E,ok
245,171,14,197,56,24,0,0,0,gle conclusion that motivates this dissertation’s evaluation focus: the diagnost,ok
246,172,20,311,94,39,0,0,0,Neurophysiological Basis of ASD in EEG,ok
247,173,18,237,74,31,0,0,0,"should complement, not replace, spectral features, since the two views capture i",ok
248,174,25,330,94,40,0,0,0,Agentic AI Architectures for Biomedical Diagnosis,ok
249,175,22,304,95,37,0,0,0,"at 100 % accuracy (5-fold CV), epilepsy at 99.02 %, and ASD at 97.67 % across se",ok
250,176,25,314,94,38,0,0,0,"The RGAIG framework’s agentic architecture, detailed in Chapter 3.1, embeds thes",ok
251,177,15,233,77,33,0,0,0,a viable acquisition modality if appropriate signal-quality safeguards (impedanc,ok
252,178,22,304,93,36,0,0,0,B2C Adoption Trust: Literature Gap,ok
253,179,18,244,73,27,0,0,0,(i) Six-construct caregiver trust model uncalibrated. No published study calibra,ok
254,180,21,316,94,40,0,0,0,Regulatory Landscape,ok
255,181,14,215,62,28,0,0,0,HIPAA and data protection. The Health Insurance Portability and Accountability A,ok
256,182,16,195,74,25,0,0,0,Signal-to-image transformation—particularly continuous wavelet transforms—enable,ok
257,183,35,171,55,19,1,0,0,Table 2.12. RAG Applications in Clinical AI: Application Domains and Quality,ok
258,184,31,278,91,29,1,0,0,Table 2.13 presents synthesis: Explainable AI and RAG.,ok
259,185,40,165,78,19,2,0,0,the dual-layer explainability architecture (SHAP attribution plus confidence-gat,ok
260,186,41,259,95,28,1,0,0,Validation Strategy Usage Across the Literature,ok
261,187,37,306,94,33,1,0,0,Table 2.17 presents synthesis: Cross-Dataset Generalization and Ensemble Methods,ok
262,188,21,253,85,33,0,0,0,"evaluation specifications, and lab-to-field accuracy degradation analysis are do",ok
263,189,37,315,97,32,1,0,0,Table 2.18 outlines synthesis: Responsible AI Frameworks in Clinical Diagnostics,ok
264,190,19,226,74,28,0,0,0,Automated Pipeline and Multi-Agent Systems,ok
265,191,45,289,96,30,1,0,0,Table 2.19 presents synthesis: Automated Pipeline and Multi-Agent Systems.,ok
266,192,15,134,67,19,0,0,0,"cerns, which is operationalised in Chapter 3.1 through the five-agent orchestrat",ok
267,193,41,290,93,31,1,0,0,Table 2.20. Synthesis: ASD-Focused Unification. This table documents that zero o,ok
268,194,16,137,65,16,0,0,0,tionalised in Chapter 3.1 through the multi-scale cascaded ensemble validated on,ok
269,195,15,153,59,18,0,0,0,Artificial Intelligence in Biomedical Screening,ok
270,196,18,195,72,24,0,0,0,Contradictory Evidence,ok
271,197,12,155,48,19,0,0,0,Generative AI and RAG,ok
272,198,16,170,64,21,0,0,0,Field Maturity Assessment,ok
273,199,17,200,74,24,0,0,0,Ethical AI Considerations,ok
274,200,18,217,67,25,0,0,0,RTAI Framework,ok
275,201,15,182,64,23,0,0,0,KPI Mapping,ok
276,202,13,160,55,22,0,0,0,Why Existing Responsible AI Frameworks Are Insufficient,ok
277,203,17,185,64,23,0,0,0,Summary of Research Gaps,ok
278,204,14,158,54,18,0,0,0,The practitioner-gap table has also been removed from the live chapter. Its core,ok
279,205,11,116,45,15,0,0,0,Non-Claims,ok
280,206,60,250,90,25,1,0,0,Hypothesis Development,ok
281,207,35,160,62,16,1,0,0,H6,ok
282,208,21,208,83,26,1,0,0,The detailed hypothesis-to-model crosswalk has been removed from the live chapte,ok
283,209,37,131,69,13,0,0,1,Conceptual Framework: A–D Integration Model. This diagram shows the,ok
284,210,13,135,55,18,0,0,0,Methodological Trends,ok
285,211,14,154,61,19,0,0,0,Key Findings,ok
286,212,21,264,82,32,0,0,0,Limitations of the Literature Review,ok
287,213,54,283,96,30,1,0,0,Table 2.22 presents consolidated Literature Synthesis: Gaps and Study Design Imp,ok
288,214,22,252,91,29,0,0,0,ASD workflow,ok
289,215,59,244,77,22,2,0,0,Research Gap to Objective Mapping,ok
290,216,15,149,58,18,0,0,0,Supplementary Material,ok
291,217,53,234,81,22,1,0,0,Literature Synthesis Matrix,ok
292,218,87,283,83,27,0,0,0,Explainable,ok
293,219,38,258,94,28,1,0,0,Note. Each row represents a literature theme covered in Chapter 2 sections. The ,ok
294,220,14,144,52,18,0,0,0,• P2 (Black-box opacity): 68% clinician rejection of opaque AI; SHAP/LIME underu,ok
295,221,14,210,75,25,0,0,0,Key Sections Covered,ok
296,222,6,77,22,10,0,0,0,Theoretical Contribution of the Literature Review,sparse
297,223,39,168,74,19,1,0,0,Distinction Table: Research Gaps Summary,ok
298,224,4,35,12,4,0,0,0,Distinction Table: Theoretical Foundations Mapping,sparse
299,225,62,176,86,20,1,0,0,Table 2.27. Theoretical Foundations Mapping: theory → source → role →,ok
300,226,27,124,64,15,2,0,0,Executive Table: ASD Literature Synthesis,ok
301,227,26,104,59,12,2,0,0,Executive Table: AI Capabilities for Healthcare Screening,ok
302,228,29,117,69,14,2,0,0,Executive Table: Trust Drivers in AI-Assisted Healthcare,ok
303,229,33,158,82,18,2,0,0,Executive Table: Governance as the Missing Variable,ok
304,230,30,122,72,15,2,0,0,Executive Table: Literature Synthesis (Known vs. Unknown),ok
305,231,42,224,83,26,1,0,0,Chapter 2 DBA Template Compliance Additions,ok
306,232,28,146,65,15,1,0,0,Unresolved Issues in the Literature,ok
307,233,33,207,83,24,1,0,0,Contribution to Existing Knowledge,ok
308,234,22,247,96,27,0,0,1,Chapter 2 Signature Diagrams,ok
309,235,13,59,83,8,0,0,2,Trust formation chain in AI-assisted healthcare,figure_heavy
310,236,14,123,65,13,0,0,1,RGAIG is not a standalone construction; it is the integration of four establishe,figure_heavy
311,237,13,86,59,12,0,0,1,Literature-to-model pathway,figure_heavy
312,,0,0,0,0,0,0,0,(empty),empty
313,,3,9,15,4,0,0,0,Appendix B,almost_empty
314,240,10,107,49,13,0,0,0,Appendix: Chapter 2 — Literature Review,ok
315,241,15,134,61,13,0,0,0,Gap-to-Problem Traceability,ok
316,242,23,203,94,22,0,0,0,ASD Detection Literature Trends,ok
317,243,10,79,39,8,0,0,0,Chapter 2 Objective Traceability,ok
318,,0,0,0,0,0,0,0,(empty),empty
319,,2,4,9,2,0,0,0,Chapter 3,almost_empty
320,246,26,191,80,18,1,0,0,Research Methods,ok
321,247,42,147,51,13,0,0,0,Chapter 3 — GGU DBA Examiner Compliance,ok
322,248,37,209,74,18,0,0,0,Must Have (per GGU + DBA examiner),ok
323,249,42,124,55,13,1,0,0,The table below presents the chapter 3 Roadmap: Sections and Purpose.,ok
324,250,10,110,36,9,0,0,0,Architecture Expansion Executive Summary,ok
325,251,62,273,92,26,1,0,0,Table 3.3. Architecture Expansion Executive Summary — One-Page Overview of the,ok
326,252,41,189,63,17,0,0,0,Advanced architecture,ok
327,253,113,269,91,23,2,0,0,ASD-EEG Pipeline — Dedicated Per-Step Architecture,ok
328,254,42,247,95,22,3,0,0,"Step 1 —. This table lists each aspect with its specification, so examiners can ",ok
329,255,46,245,93,23,3,0,0,Purpose,ok
330,256,41,247,95,21,5,0,0,Note. This dedicated page documents Step 3 of the 23-step ASD-EEG pipeline; the,ok
331,257,47,252,93,24,2,0,0,Purpose,ok
332,258,40,238,95,21,4,0,0,Note. This dedicated page documents Step 6 of the 23-step ASD-EEG pipeline; the,ok
333,259,43,246,94,25,2,0,0,Purpose,ok
334,260,37,224,93,21,3,0,0,Sample-data,ok
335,261,44,241,93,24,3,0,0,Table 3.15. Step 11 — 50+ EEG Feature Engineering.,ok
336,262,42,231,92,22,2,0,0,Input format,ok
337,263,42,238,94,22,4,0,0,pipeline expanded reference is in Table 3.132. The dissertation’s drill suite ve,ok
338,264,47,271,93,26,2,0,0,Purpose,ok
339,265,35,232,90,23,3,0,0,Note. This dedicated page documents Step 16 of the 23-step ASD-EEG pipeline; the,ok
340,266,44,239,93,23,3,0,0,Table 3.22. Step 18 — Document Indexing + Embedding + Vector Store.,ok
341,267,43,228,91,23,2,0,0,Input format,ok
342,268,36,250,90,23,3,0,0,Note. This dedicated page documents Step 20 of the 23-step ASD-EEG pipeline; the,ok
343,269,42,236,94,22,3,0,0,Table 3.26. Step 22 — Doctor-Facing + Patient-Facing Reports.,ok
344,270,44,221,91,22,2,0,0,Technique,ok
345,271,38,201,95,20,2,0,0,Note. This technique page is a sub-detail of the dissertation’s 23-step pipeline,ok
346,272,40,230,92,24,1,0,0,Method /,ok
347,273,38,184,94,19,2,0,0,suite verifies the technique’s implementation matches its specification before p,ok
348,274,15,98,36,11,0,0,0,Method /,ok
349,275,39,252,95,24,1,0,0,"ASD-EEG Pipeline — Detail Flow, Per-Stage Governance, Analysis,",ok
350,276,39,227,93,20,1,0,0,Sub-step 5.7 IC,ok
351,277,41,235,93,21,1,0,0,Source: BrainVision mne.io.read_raw_brainvision -> save,ok
352,278,42,289,93,24,1,0,0,STFT (Short-Time,ok
353,279,31,234,85,22,0,0,0,Decomposition,ok
354,280,75,226,93,22,1,0,0,Table 3.38. Healthy vs ASD Data Window — Per-Band Power Side-by-Side (KAUaligned,ok
355,281,46,270,94,26,1,0,0,pattern (gamma elevation + alpha suppression + theta excess) is consistent with ,ok
356,282,41,204,96,21,1,0,0,Note. EDA runs before any inferential model fitting; findings inform feature sel,ok
